hotel_name,url_short,other_rating
Britannia International Hotel Canary Wharf,https://www.hotels.com/ho114099/britannia-the-international-hotel-london-canary-wharf-london-united-kingdom/,6.2
Strand Palace Hotel,https://www.hotels.com/ho114409/the-strand-palace-hotel-london-united-kingdom/,8.4
Park Plaza Westminster Bridge London,https://www.hotels.com/ho335698/park-plaza-westminster-bridge-london-london-united-kingdom/,8.4
Copthorne Tara Hotel London Kensington,https://www.hotels.com/ho150368/copthorne-tara-hotel-london-kensington-london-united-kingdom/,7.0
DoubleTree by Hilton Hotel London Tower of London,https://www.hotels.com/ho368307/doubletree-by-hilton-hotel-london-tower-of-london-london-united-kingdom/,8.2
Grand Royale London Hyde Park,https://www.hotels.com/ho238094/grand-royale-london-hyde-park-london-united-kingdom/,7.4
Holiday Inn London Kensington,https://www.hotels.com/ho114516/holiday-inn-london-kensington-high-st-london-united-kingdom/,7.4
Hilton London Metropole,https://www.hotels.com/ho170309/hilton-london-metropole-london-united-kingdom/,7.0
Millennium Gloucester Hotel London,https://www.hotels.com/ho105996/millennium-gloucester-hotel-london-kensington-london-united-kingdom/,7.6
Intercontinental London The O2,https://www.hotels.com/ho535741/intercontinental-london-the-o2-london-united-kingdom/,9.0
Park Grand Paddington Court,https://www.hotels.com/ho172215/park-grand-paddington-court-london-united-kingdom/,7.2
Hilton London Wembley,https://www.hotels.com/ho403798/hilton-london-wembley-wembley-united-kingdom/,8.6
Park Plaza County Hall London,https://www.hotels.com/ho258400/park-plaza-county-hall-london-london-united-kingdom/,9.0
Blakemore Hyde Park,https://www.hotels.com/ho285982/blakemore-hyde-park-london-united-kingdom/,8.0
Park Plaza London Riverbank,https://www.hotels.com/ho228199/park-plaza-london-riverbank-london-united-kingdom/,8.2
M by Montcalm Shoreditch London Tech City,https://www.hotels.com/ho480679/montcalm-east-autograph-collection-london-united-kingdom/,8.6
DoubleTree by Hilton London Docklands Riverside,https://www.hotels.com/ho124508/doubletree-by-hilton-london-docklands-riverside-london-united-kingdom/,8.0
St James Court A Taj Hotel London,https://www.hotels.com/ho112709/st-james-court-a-taj-hotel-london-london-united-kingdom/,9.0
Park Grand London Kensington,https://www.hotels.com/ho181606/park-grand-london-kensington-london-united-kingdom/,8.4
Hotel Da Vinci,https://www.hotels.com/ho496201/hotel-da-vinci-milan-italy/,8.0
Holiday Inn London Wembley,https://www.hotels.com/ho198205/holiday-inn-london-wembley-wembley-united-kingdom/,8.0
Hilton London Kensington Hotel,https://www.hotels.com/ho163527/hilton-london-kensington-london-united-kingdom/,7.4
Hotel Esther a,https://www.hotels.com/ho119714/radisson-blu-hotel-amsterdam-city-center-amsterdam-netherlands/,8.8
The Tower A Guoman Hotel,https://www.hotels.com/ho224174/the-tower-hotel-london-united-kingdom/,8.2
The Cumberland A Guoman Hotel,https://www.hotels.com/ho114408/great-cumberland-place-london-united-kingdom/,7.0
The Park Grand London Paddington,https://www.hotels.com/ho335214/the-park-grand-london-paddington-london-united-kingdom/,6.8
Ramada Apollo Amsterdam Centre,https://www.hotels.com/ho381096/leonardo-hotel-amsterdam-rembrandtpark-amsterdam-netherlands/,8.2
Golden Tulip Amsterdam West,https://www.hotels.com/ho420912/xo-hotels-park-west-amsterdam-netherlands/,8.8
citizenM Tower of London,https://www.hotels.com/ho579364/citizenm-tower-of-london-london-united-kingdom/,9.2
Club Quarters Hotel St Paul s,https://www.hotels.com/ho192432/club-quarters-hotel-st-paul-s-london-united-kingdom/,7.8
Park Plaza Victoria Amsterdam,https://www.hotels.com/ho123513/park-plaza-victoria-amsterdam-amsterdam-netherlands/,8.8
Mondrian London,https://www.hotels.com/ho474803/sea-containers-london-london-united-kingdom/,9.2
Crowne Plaza London Docklands,https://www.hotels.com/ho213230/crowne-plaza-london-docklands-london-united-kingdom/,8.6
The Student Hotel Amsterdam City,https://www.hotels.com/ho530979/the-student-hotel-amsterdam-city-amsterdam-netherlands/,9.0
Shaftesbury Premier London Paddington,https://www.hotels.com/ho217116/the-chilworth-london-paddington-london-united-kingdom/,8.0
Hilton London Canary Wharf,https://www.hotels.com/ho234575/hilton-london-canary-wharf-london-united-kingdom/,9.0
Norfolk Towers Paddington,https://www.hotels.com/ho285748/norfolk-towers-paddington-hotel-london-united-kingdom/,7.6
citizenM London Bankside,https://www.hotels.com/ho462638/citizenm-london-bankside-london-united-kingdom/,9.2
The Grosvenor,https://www.hotels.com/ho129168/the-clermont-london-victoria-london-united-kingdom/,8.8
London Marriott Hotel West India Quay,https://www.hotels.com/ho219357/london-marriott-hotel-canary-wharf-london-united-kingdom/,9.0
DoubleTree By Hilton London Excel,https://www.hotels.com/ho218082/doubletree-by-hilton-hotel-london-excel-london-united-kingdom/,8.4
Mercure Paris Terminus Nord,https://www.hotels.com/ho112786/25hours-hotel-paris-terminus-nord-paris-france/,9.0
Park Plaza Victoria London,https://www.hotels.com/ho198280/park-plaza-victoria-london-london-united-kingdom/,8.8
WestCord Fashion Hotel Amsterdam,https://www.hotels.com/ho311478/westcord-fashion-hotel-amsterdam-amsterdam-netherlands/,8.8
Radisson Blu Edwardian Grafton,https://www.hotels.com/ho122646/radisson-blu-edwardian-grafton-hotel-london-london-united-kingdom/,8.4
Glam Milano,https://www.hotels.com/ho279496/hotel-glam-milano-milan-italy/,8.2
The Montcalm At Brewery London City,https://www.hotels.com/ho374303/the-montcalm-at-brewery-london-city-london-united-kingdom/,7.8
Radisson Blu Edwardian Vanderbilt,https://www.hotels.com/ho122649/radisson-blu-edwardian-vanderbilt-hotel-london-london-united-kingdom/,8.8
Novotel London West,https://www.hotels.com/ho143566/novotel-london-west-london-united-kingdom/,7.6
Dorsett Shepherds Bush,https://www.hotels.com/ho448551/dorsett-shepherds-bush-london-united-kingdom/,8.4
Amba Hotel Marble Arch,https://www.hotels.com/ho105507/amba-hotel-marble-arch-london-united-kingdom/,8.2
DoubleTree by Hilton Amsterdam Centraal Station,https://www.hotels.com/ho364506/doubletree-by-hilton-hotel-amsterdam-centraal-station-amsterdam-netherlands/,8.4
Millennium Hotel London Mayfair,https://www.hotels.com/ho106275/the-biltmore-mayfair-lxr-hotels-resorts-london-united-kingdom/,9.2
Novotel London Wembley,https://www.hotels.com/ho450528/novotel-london-wembley-wembley-united-kingdom/,8.8
DoubleTree by Hilton London Westminster,https://www.hotels.com/ho211924/the-westminster-london-curio-collection-by-hilton-london-united-kingdom/,8.4
NH Collection Amsterdam Grand Hotel Krasnapolsky,https://www.hotels.com/ho195872/nh-collection-amsterdam-grand-hotel-krasnapolsky-amsterdam-netherlands/,8.8
Pullman London St Pancras,https://www.hotels.com/ho171220/pullman-london-st-pancras-london-united-kingdom/,9.0
Holiday Inn London Bloomsbury,https://www.hotels.com/ho279114/holiday-inn-london-bloomsbury-hotel-london-united-kingdom/,8.2
St George s Hotel Wembley,https://www.hotels.com/ho516103/st-george-hotel-wembley-wembley-united-kingdom/,8.4
citizenM Amsterdam,https://www.hotels.com/ho356737/citizenm-hotel-amsterdam-south-amsterdam-netherlands/,9.2
Radisson Blu Hotel Amsterdam,https://www.hotels.com/ho119714/radisson-blu-hotel-amsterdam-city-center-amsterdam-netherlands/,8.8
Hilton London Paddington,https://www.hotels.com/ho189771/hilton-london-paddington-london-united-kingdom/,7.8
Jaz Amsterdam,https://www.hotels.com/ho547125/jaz-amsterdam-amsterdam-netherlands/,9.0
Grange St Paul s Hotel,https://www.hotels.com/ho275564/leonardo-royal-london-st-paul-s-london-united-kingdom/,8.0
Radisson Blu Edwardian New Providence Wharf,https://www.hotels.com/ho257616/radisson-blu-edwardian-new-providence-wharf-hotel-london-london-united-kingdom/,9.2
St Pancras Renaissance Hotel London,https://www.hotels.com/ho360456/st-pancras-renaissance-hotel-london-london-united-kingdom/,8.4
Club Quarters Hotel Lincoln s Inn Fields,https://www.hotels.com/ho396660/club-quarters-hotel-covent-garden-holborn-london-united-kingdom/,8.6
De Vere Devonport House,https://www.hotels.com/ho150369/the-bailey-s-hotel-london-london-united-kingdom/,8.4
Aloft London Excel,https://www.hotels.com/ho375509/aloft-london-excel-london-united-kingdom/,8.8
The Piccadilly London West End,https://www.hotels.com/ho116903/the-piccadilly-london-west-end-london-united-kingdom/,8.2
Hotel degli Arcimboldi,https://www.hotels.com/ho453524/hotel-degli-arcimboldi-milan-italy/,8.2
TheWesley,https://www.hotels.com/ho271064/thewesley-london-united-kingdom/,7.6
Corus Hotel Hyde Park,https://www.hotels.com/ho144800/corus-hyde-park-hotel-london-united-kingdom/,7.0
Shangri La Hotel at The Shard London,https://www.hotels.com/ho456469/shangri-la-the-shard-london-london-united-kingdom/,9.4
NH Carlton Amsterdam,https://www.hotels.com/ho114748/nh-collection-amsterdam-flower-market-amsterdam-netherlands/,8.8
Henry VIII,https://www.hotels.com/ho163523/hotel-henry-viii-london-united-kingdom/,6.8
The Queens Gate Hotel,https://www.hotels.com/ho286231/the-queen-s-gate-hotel-london-united-kingdom/,8.4
Club Quarters Hotel Gracechurch,https://www.hotels.com/ho163512/club-quarters-hotel-london-city-london-united-kingdom/,8.0
Shaftesbury Metropolis London Hyde Park,https://www.hotels.com/ho186637/inhabit-london-united-kingdom/,8.2
Clayton Crown Hotel London,https://www.hotels.com/ho215242/clayton-crown-hotel-london-london-united-kingdom/,7.8
Urban Lodge Hotel,https://www.hotels.com/ho688609/hotel-yooma-urban-lodge-paris-france/,8.4
DoubleTree by Hilton London Victoria,https://www.hotels.com/ho118948/doubletree-by-hilton-london-victoria-london-united-kingdom/,8.0
Catalonia Atenas,https://www.hotels.com/ho282675/catalonia-atenas-barcelona-spain/,7.8
The Montcalm Marble Arch,https://www.hotels.com/ho265214/the-montcalm-london-marble-arch-london-united-kingdom/,8.4
Park Lane Mews Hotel,https://www.hotels.com/ho114658/park-lane-mews-hotel-london-united-kingdom/,6.8
Hotel Berna,https://www.hotels.com/ho244087/hotel-berna-milan-italy/,9.0
Apex City Of London Hotel,https://www.hotels.com/ho231415/apex-city-of-london-hotel-london-united-kingdom/,9.2
Apex Temple Court Hotel,https://www.hotels.com/ho400461/apex-temple-court-hotel-london-united-kingdom/,9.4
Shaftesbury Hyde Park International,https://www.hotels.com/ho239270/hyde-park-international-member-of-park-grand-london-london-united-kingdom/,7.4
The Bailey s Hotel London,https://www.hotels.com/ho150369/the-bailey-s-hotel-london-london-united-kingdom/,8.4
Doubletree by Hilton London Kensington,https://www.hotels.com/ho105509/100-queen-s-gate-hotel-london-curio-collection-by-hilton-london-united-kingdom/,8.2
Millennium Hotel London Knightsbridge,https://www.hotels.com/ho117116/millennium-hotel-london-knightsbridge-london-united-kingdom/,7.2
Crowne Plaza London Kings Cross,https://www.hotels.com/ho197738/crowne-plaza-london-kings-cross-london-united-kingdom/,8.0
The Royal Horseguards,https://www.hotels.com/ho113320/the-royal-horseguards-london-united-kingdom/,8.8
Doubletree By Hilton London Greenwich,https://www.hotels.com/ho415605/doubletree-by-hilton-london-greenwich-london-united-kingdom/,8.8
The Chamberlain,https://www.hotels.com/ho215174/the-chamberlain-hotel-london-united-kingdom/,8.8
The Premier Notting Hill,https://www.hotels.com/ho137913/the-premier-notting-hill-london-united-kingdom/,7.2
Catalonia Plaza Catalunya,https://www.hotels.com/ho2497249504/sonder-paseo-de-gracia-barcelona-spain/,9.2
The Belgrave Hotel,https://www.hotels.com/ho230473/the-hari-london-united-kingdom/,9.2
Hotel de France Wien,https://www.hotels.com/ho109390/hotel-de-france-vienna-austria/,8.6
Commodore Hotel,https://www.hotels.com/ho183087/the-commodore-hotel-cape-town-south-africa/,8.6
Best Western Palm Hotel,https://www.hotels.com/ho268428/best-western-palm-hotel-london-united-kingdom/,7.8
DoubleTree by Hilton London Hyde Park,https://www.hotels.com/ho114348/doubletree-by-hilton-hotel-london-hyde-park-london-united-kingdom/,8.2
Club Quarters Hotel Trafalgar Square,https://www.hotels.com/ho180395/club-quarters-hotel-trafalgar-square-london-united-kingdom/,8.6
Radisson Blu Edwardian Kenilworth,https://www.hotels.com/ho122647/radisson-blu-edwardian-kenilworth-hotel-london-london-united-kingdom/,8.4
Corendon Vitality Hotel Amsterdam,https://www.hotels.com/ho486880/corendon-city-hotel-amsterdam-amsterdam-netherlands/,8.6
