hotel_name,scraped_info
Britannia International Hotel Canary Wharf,"[3.5, 'https://www.hotels.com/ho114099/britannia-the-international-hotel-london-canary-wharf-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673180230092&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=179523&selected=1949&sort=RECOMMENDED&top_dp=74&top_cur=EUR&userIntent=&selectedRoomType=10342&selectedRatePlan=209571708&expediaPropertyId=1949']"
Strand Palace Hotel,"[4.0, 'https://www.hotels.com/ho114409/the-strand-palace-hotel-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673180298647&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=179&sort=RECOMMENDED&top_dp=201&top_cur=EUR&userIntent=&selectedRoomType=210002624&selectedRatePlan=220014447&expediaPropertyId=179']"
Park Plaza Westminster Bridge London,"[4.0, 'https://www.hotels.com/ho335698/park-plaza-westminster-bridge-london-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673180371709&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=3113039&sort=RECOMMENDED&top_dp=214&top_cur=EUR&userIntent=&selectedRoomType=314307424&selectedRatePlan=382949956&expediaPropertyId=3113039']"
Copthorne Tara Hotel London Kensington,"[4.0, 'https://www.hotels.com/ho150368/copthorne-tara-hotel-london-kensington-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673180443431&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=26145&sort=RECOMMENDED&top_dp=116&top_cur=EUR&userIntent=&selectedRoomType=200757745&selectedRatePlan=236135017&expediaPropertyId=26145']"
DoubleTree by Hilton Hotel London Tower of London,"[4.0, 'https://www.hotels.com/ho368307/doubletree-by-hilton-hotel-london-tower-of-london-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673180515623&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=3977996&sort=RECOMMENDED&top_dp=137&top_cur=EUR&userIntent=&selectedRoomType=200148382&selectedRatePlan=388616990&expediaPropertyId=3977996']"
Grand Royale London Hyde Park,"[4.0, 'https://www.hotels.com/ho238094/grand-royale-london-hyde-park-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673180588401&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=1402870&sort=RECOMMENDED&top_dp=108&top_cur=EUR&userIntent=&selectedRoomType=200345812&selectedRatePlan=202111002&expediaPropertyId=1402870']"
Holiday Inn London Kensington,"[4.0, 'https://www.hotels.com/ho114516/holiday-inn-london-kensington-high-st-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673180657438&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=9789&sort=RECOMMENDED&top_dp=134&top_cur=EUR&userIntent=&selectedRoomType=201815501&selectedRatePlan=238332641&expediaPropertyId=9789']"
Hilton London Metropole,"[4.0, 'https://www.hotels.com/ho170309/hilton-london-metropole-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673180739565&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=26134&sort=RECOMMENDED&top_dp=163&top_cur=EUR&userIntent=&selectedRoomType=210608284&selectedRatePlan=388616793&expediaPropertyId=26134']"
Millennium Gloucester Hotel London,"[4.0, 'https://www.hotels.com/ho105996/millennium-gloucester-hotel-london-kensington-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673180883190&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=523228&sort=RECOMMENDED&top_dp=153&top_cur=EUR&userIntent=&selectedRoomType=212713758&selectedRatePlan=238241690&expediaPropertyId=523228']"
Intercontinental London The O2,"[4.0, 'https://www.hotels.com/ho535741/intercontinental-london-the-o2-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673180953839&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=5827&selected=11518997&sort=RECOMMENDED&top_dp=212&top_cur=EUR&userIntent=&selectedRoomType=201656874&selectedRatePlan=380980696&expediaPropertyId=11518997']"
